iter	MAE	RMSE
93	0.6213006521	0.8453663925
94	0.618930049	0.8416618585
95	0.617720169	0.8394040496
96	0.6164717372	0.836793037
97	0.6150110892	0.8347259555
98	0.6140695942	0.8330908614
99	0.6138427852	0.8323112725
100	0.6130921632	0.8306956938
101	0.6109379921	0.8278921775
102	0.608734331	0.8250047796
103	0.6080566862	0.8237327866
104	0.6055894861	0.8207036357
105	0.6050191473	0.819582926
106	0.6044126168	0.8184241416
107	0.6038364246	0.8173080115
108	0.6007137635	0.8129352734
109	0.5994622219	0.810956864
110	0.5985241758	0.8091656866
111	0.5973421185	0.8073894579
112	0.5965165582	0.8061129616
113	0.5958109569	0.8049977272
114	0.5953088919	0.8039817143
115	0.5934102402	0.8018912935
116	0.5916766355	0.7993266994
117	0.5905041801	0.7974689215
118	0.5901934753	0.7968203071
119	0.5897835525	0.7961549665
120	0.5890499607	0.7951067845
121	0.5867277385	0.7924926857
122	0.5846437092	0.7900058019
123	0.5837052181	0.7884694095
124	0.5831756192	0.7874102767
125	0.5829458319	0.7867849601
126	0.5822557424	0.7856200351
127	0.5811767905	0.7838533022
128	0.5805607752	0.7827462383
129	0.5798531436	0.7816748683
130	0.5787910463	0.7802956257
131	0.5777386825	0.7784805179
132	0.5769378302	0.7771317552
133	0.5764718091	0.7762457117
134	0.5753836306	0.7744534469
135	0.5728992316	0.7713885073
136	0.5712636229	0.7691801393
137	0.5696260261	0.7665906578
138	0.5688031772	0.765429226
139	0.5675690107	0.7634615217
140	0.565681625	0.7610874427
141	0.5637951527	0.7585320915
142	0.5623909462	0.7569125934
143	0.5622102049	0.7564648508
144	0.5607401267	0.7544340724
145	0.5601273349	0.7532045609
146	0.5585932121	0.7509508504
147	0.557632628	0.7492929568
148	0.5560509273	0.7471363374
149	0.5559690431	0.7468181398
150	0.5554244606	0.746101746
151	0.5535213142	0.7436004874
152	0.553153767	0.7428497106
153	0.5513079288	0.7404634402
154	0.5502385972	0.7392903611
155	0.5500801869	0.7389784337
156	0.5483093142	0.7363114576
157	0.5477299494	0.735528096
158	0.5469470206	0.7341856556
159	0.546805025	0.7338569385
160	0.5467143899	0.7335581959
161	0.5461748724	0.7327082067
162	0.5459546086	0.7323713194
163	0.5439560333	0.7298512409
164	0.5427869036	0.7281800841
165	0.5415359912	0.7262601604
166	0.5413809711	0.72597763
167	0.5397864099	0.7236792631
168	0.539558632	0.7232917107
169	0.5381293775	0.7216222589
170	0.5379688174	0.72130597
171	0.5373410012	0.7201563412
172	0.536199974	0.7186167254
173	0.5350472923	0.7170155407
174	0.5345952219	0.7159435305
175	0.5339219537	0.7151071782
176	0.5333792418	0.7143021099
177	0.5321497234	0.7130137085
178	0.5310806106	0.7115711603
179	0.5304136262	0.7106693757
180	0.5301304679	0.7102533241
181	0.5292364918	0.7093142223
182	0.5285869876	0.7082523057
183	0.528335362	0.7078710434
184	0.5274246812	0.7066287919
185	0.5270155026	0.7060416905
186	0.5258318638	0.7046823605
187	0.5256749294	0.7043430959
188	0.5244422792	0.7027671493
189	0.5235153578	0.701323541
190	0.5228356773	0.7005449133
191	0.5221088067	0.6990551976
192	0.5211761694	0.6979956402
193	0.5208125956	0.6974942544
194	0.5206539463	0.697235713
195	0.5204468935	0.6969344618
196	0.5200869535	0.6964118847
197	0.519380031	0.695652192
198	0.5189207554	0.6951024367
199	0.5172100865	0.6923764953
200	0.5164628594	0.6909195642
201	0.5162240914	0.6905858231
202	0.5154939156	0.6894882988
203	0.5146691307	0.68846163
204	0.5143691835	0.687930155
205	0.5135762029	0.6868106284
206	0.5132546149	0.6863520699
207	0.5120675366	0.6846861845
208	0.5117567558	0.6843666618
209	0.5114974817	0.6840094786
210	0.5113412293	0.6836084499
211	0.5104984701	0.6825097652
212	0.5096873973	0.6814279715
213	0.5091024212	0.6807274964
214	0.5089615114	0.6805212514
215	0.5085061988	0.6798712279
216	0.5077575058	0.6778328478
217	0.5069339528	0.6765590259
218	0.5067812436	0.6754654402
219	0.5057223434	0.6736837227
220	0.5051339651	0.6730343386
221	0.5044041327	0.6718689554
222	0.5034320027	0.6708924715
223	0.5031429403	0.6705646331
224	0.5027561472	0.6699270267
225	0.5019038242	0.6686505278
226	0.5013856474	0.6680273243
227	0.5008051601	0.6672035656
228	0.5005451954	0.6668071158
229	0.5003270027	0.666355396
230	0.5002294458	0.6662220455
231	0.4994054691	0.664749023
232	0.4988602543	0.664190814
233	0.4985885114	0.6638771282
234	0.4982843654	0.6635251962
235	0.4979612133	0.6631292877
236	0.4974460694	0.6623608942
237	0.4967356403	0.6610590591
238	0.4962606507	0.6600481861
239	0.4959477654	0.6596182337
240	0.4956800403	0.659282508
241	0.4953374596	0.6589183168
242	0.4948995756	0.6583619561
243	0.4944798725	0.6576605883
244	0.4939697105	0.6571280672
245	0.493424277	0.6560025583
246	0.4927780589	0.6552752246
247	0.4925408416	0.6549804058
248	0.4922604219	0.654617691
249	0.4920207186	0.6542823423
250	0.4916086606	0.653811245
251	0.4911564158	0.652920482
252	0.4908790322	0.6526485001
253	0.4903189003	0.6515966817
254	0.4900885859	0.6512816574
255	0.4897410586	0.6508555803
256	0.4893852341	0.6504396108
257	0.488872024	0.6500349515
258	0.488327975	0.6490243169
259	0.4876977965	0.648298912
260	0.4870465349	0.6475102569
261	0.4867324156	0.64722467
262	0.4857600937	0.6459948036
263	0.4853593833	0.6455643779
264	0.4847606997	0.6448956439
265	0.4841925343	0.644108124
266	0.4835628726	0.6428519316
267	0.4832471432	0.6425429385
268	0.4829212684	0.6421745576
269	0.4824187191	0.6415085844
270	0.4822147689	0.6412847733
271	0.4819160422	0.6410232159
272	0.4810588305	0.6399017291
273	0.479987143	0.638666506
274	0.4797892851	0.6384665231
275	0.4795387878	0.6382318754
276	0.4789193386	0.6378247614
277	0.4786151041	0.6374701058
278	0.4777085572	0.6364372555
279	0.4772047489	0.6355082054
280	0.4768664547	0.6351477505
281	0.4766578906	0.6348871564
282	0.4764084235	0.6344130864
283	0.4761375743	0.6340852701
284	0.4759441249	0.633878604
285	0.4756880538	0.6336471815
286	0.4754961931	0.6334452648
287	0.4754117959	0.6333482229
288	0.4751243265	0.6331146879
289	0.4742588378	0.6320338423
290	0.4738954931	0.630816052
291	0.4735803315	0.6305139574
292	0.4733614457	0.6302949777
293	0.4728834047	0.6294309886
294	0.4724703086	0.6288615387
295	0.4720075045	0.6284609783
296	0.4714141184	0.6278951649
297	0.4702352251	0.6261174816
298	0.4699684461	0.6258739293
299	0.469728052	0.6256486318
300	0.4686919054	0.6243837936
301	0.4679403233	0.6227404886
302	0.4672246202	0.6217873485
303	0.4668502601	0.6214677807
304	0.4662379941	0.6205339881
305	0.4660513479	0.6203513465
306	0.4656186064	0.6197912779
307	0.4652468307	0.6190501943
308	0.4647367769	0.6185298145
309	0.4643926323	0.6180555726
310	0.4639736085	0.6175288469
311	0.4637206062	0.6173244711
312	0.4635196155	0.6171470837
313	0.4631613325	0.6164483799
314	0.4622909764	0.6147543408
315	0.4621334265	0.6146002672
316	0.4619438966	0.614436321
317	0.4610810664	0.6134049781
318	0.4609228053	0.6132600078
319	0.4601850312	0.6122595499
320	0.4598947817	0.6113269522
321	0.4597782911	0.6112016914
322	0.4591785908	0.6100773349
323	0.4588037193	0.6095931184
324	0.4584483914	0.6091187232
325	0.4583302444	0.6089937065
326	0.4579140647	0.6081698244
327	0.4571504721	0.606846243
328	0.4567937814	0.6058098864
329	0.4563856405	0.6051195769
330	0.4555351392	0.603922913
331	0.4550647274	0.6035819888
332	0.454104211	0.6026182503
333	0.4533288475	0.6013940582
334	0.4524340052	0.6002347701
335	0.4517576678	0.5989801349
336	0.4515826389	0.598806968
337	0.4512583304	0.5984440572
338	0.4504630814	0.5977448805
339	0.4499564346	0.5970399313
340	0.449889126	0.5969710722
341	0.4493868719	0.5963567866
342	0.4488521115	0.5957281958
343	0.4482377859	0.5945838622
344	0.4481550548	0.594509212
345	0.4470259314	0.593199274
346	0.4468807643	0.5930738508
347	0.4459343673	0.5922993556
348	0.4456864307	0.5921086868
349	0.4454214741	0.5918477416
350	0.4450759004	0.5910116419
351	0.4446430107	0.5900305164
352	0.4439978863	0.5886658458
353	0.4431519146	0.5871069908
354	0.4422943131	0.5854971163
355	0.4415221694	0.5842023805
356	0.4413040035	0.5839799869
357	0.4407871487	0.5829707162
358	0.4402439195	0.5821073475
359	0.4400664926	0.5819764446
360	0.4399466349	0.5818790172
361	0.4392976374	0.5806093279
362	0.4385340022	0.57970328
363	0.4381965439	0.5791216078
364	0.4378170179	0.5785703691
365	0.4371359823	0.5777506198
366	0.4366446844	0.5772212329
367	0.4362797957	0.5765394329
368	0.4360334903	0.5763014285
369	0.4357175501	0.576042924
370	0.4351608112	0.5748544624
371	0.4348796898	0.5744683171
372	0.4344835392	0.5739992705
373	0.4341428402	0.5730854058
374	0.4334761045	0.5717648775
375	0.4328497209	0.5709272009
376	0.4322066684	0.5698254022
377	0.4321243316	0.5697411885
378	0.4313554271	0.5686341074
379	0.4311309502	0.5681317588
380	0.430568088	0.5667812405
381	0.4300992517	0.565900535
382	0.4292866229	0.5649438825
383	0.4281463195	0.5635049011
384	0.4278731289	0.5631952121
385	0.4278242038	0.5631602627
386	0.4277377685	0.5630559534
387	0.4275471497	0.5628944913
388	0.4266321645	0.5618063633
389	0.4262940767	0.5613969859
390	0.4260065214	0.5610132753
391	0.4257056712	0.5606253681
392	0.4249474392	0.5596613626
393	0.4247676115	0.5594784169
394	0.4243327319	0.5583906067
395	0.4242674931	0.558332388
396	0.4239345576	0.5573498195
397	0.4237009836	0.5569920064
398	0.4231841777	0.5556280088
399	0.4225496134	0.5546627013
400	0.4222130187	0.5542368794
401	0.4221299382	0.5541741317
402	0.4217662473	0.5537028472
403	0.4212523172	0.5532166805
404	0.4211230168	0.553116734
405	0.4205198363	0.5525191599
406	0.4202747736	0.5522327739
407	0.4199506619	0.5516901219
408	0.4192027392	0.5507532466
409	0.4183358956	0.5499080283
410	0.4174066969	0.5486741613
411	0.4168755935	0.5475542602
412	0.4166047317	0.5470928255
413	0.4162753718	0.5465916163
414	0.4155610135	0.5455298872
415	0.4154549546	0.5454530931
416	0.4153140742	0.5453535867
417	0.4145120979	0.5443106273
418	0.4142684379	0.5441317717
419	0.4139502607	0.5433878993
420	0.4132770546	0.5422873873
421	0.4125085961	0.5411255681
422	0.412203143	0.5401124146
423	0.4116440807	0.5389390205
424	0.4114838208	0.5388034664
425	0.4108173338	0.5380782196
426	0.4107263863	0.5380226645
427	0.4104870717	0.5371822195
428	0.4098181152	0.5359825447
429	0.4097461257	0.5359043686
